Familia	Especie	Categoría	Criterios	Fecha_evaluación	Fecha_publicación	Iniciativa	Estado
Bromeliaceae	Pitcairnia petraea	EN	B1ab(iii)	2018	2019	LR GEPC - Especies Alta Montaña - Instituto Humboldt, ICN/Universidad Nacional, CEPF	Publicada (UICN + SIB)
Bromeliaceae	Pitcairnia poortmanii	VU	D2	2006	2006	Libros Rojos - ICN/Universidad Nacional, SINCHI, Instituto Humboldt	Publicada (Serie Libros Rojos)
Bromeliaceae	Pitcairnia pungens	LC		2006	2006	Libros Rojos - ICN/Universidad Nacional, SINCHI, Instituto Humboldt	Publicada (Serie Libros Rojos)
Bromeliaceae	Pitcairnia ramosii	CR	B2ab(iii)	2019	2022	LR GEPC - Especies en Veda - MinAmbiente, Instituto Humboldt, ICN/Universidad Nacional	Publicada (UICN + SIB)
Bromeliaceae	Pitcairnia rigida	EN	B1ab(iii)	2006	2006	Libros Rojos - ICN/Universidad Nacional, SINCHI, Instituto Humboldt	Publicada (Serie Libros Rojos)
Bromeliaceae	Pitcairnia schultzei	VU	D2	2006	2006	Libros Rojos - ICN/Universidad Nacional, SINCHI, Instituto Humboldt	Publicada (Serie Libros Rojos)
Bromeliaceae	Pitcairnia semaphora	EN	B1ab(iii)+2ab(iii)	2019	2022	LR GEPC - Especies en Veda - MinAmbiente, Instituto Humboldt, ICN/Universidad Nacional	Publicada (UICN + SIB)
Bromeliaceae	Pitcairnia setipetiola	DD		2019	2022	LR GEPC - Especies en Veda - MinAmbiente, Instituto Humboldt, ICN/Universidad Nacional	Publicada (UICN + SIB)
Bromeliaceae	Pitcairnia similis	LC		2019	2022	LR GEPC - Especies en Veda - MinAmbiente, Instituto Humboldt, ICN/Universidad Nacional	Publicada (UICN + SIB)
Bromeliaceae	Pitcairnia simulans	LC		2006	2006	Libros Rojos - ICN/Universidad Nacional, SINCHI, Instituto Humboldt	Publicada (Serie Libros Rojos)
Bromeliaceae	Pitcairnia sneidernii	LC		2019	2022	LR GEPC - Especies en Veda - MinAmbiente, Instituto Humboldt, ICN/Universidad Nacional	Publicada (UICN + SIB)
Bromeliaceae	Pitcairnia spectabilis	LC		2006	2006	Libros Rojos - ICN/Universidad Nacional, SINCHI, Instituto Humboldt	Publicada (Serie Libros Rojos)
Bromeliaceae	Pitcairnia squarrosa	LC		2006	2006	Libros Rojos - ICN/Universidad Nacional, SINCHI, Instituto Humboldt	Publicada (Serie Libros Rojos)
Bromeliaceae	Pitcairnia stenophylla	EN	B1ab(iii)+2ab(iii)	2019	2022	LR GEPC - Especies en Veda - MinAmbiente, Instituto Humboldt, ICN/Universidad Nacional	Publicada (UICN + SIB)
Bromeliaceae	Pitcairnia sylvestris	EN	B1ab(iii)+2ab(iii)	2019	2022	LR GEPC - Especies en Veda - MinAmbiente, Instituto Humboldt, ICN/Universidad Nacional	Publicada (UICN + SIB)
Bromeliaceae	Pitcairnia tolimensis	EN	B1+2ab(iii)	2019	2022	LR GEPC - Especies en Veda - MinAmbiente, Instituto Humboldt, ICN/Universidad Nacional	Publicada (UICN + SIB)
Bromeliaceae	Pitcairnia trianae	NT		2006	2006	Libros Rojos - ICN/Universidad Nacional, SINCHI, Instituto Humboldt	Publicada (Serie Libros Rojos)
Bromeliaceae	Pitcairnia trimorpha	EN	B2ab(iii)	2019	2022	LR GEPC - Especies en Veda - MinAmbiente, Instituto Humboldt, ICN/Universidad Nacional	Publicada (UICN + SIB)
Bromeliaceae	Pitcairnia tumulicola	LC		2019	2022	LR GEPC - Especies en Veda - MinAmbiente, Instituto Humboldt, ICN/Universidad Nacional	Publicada (UICN + SIB)
Bromeliaceae	Pitcairnia ventidirecta	DD		2018	2019	LR GEPC - Especies Alta Montaña - Instituto Humboldt, ICN/Universidad Nacional, CEPF	Publicada (UICN + SIB)
Bromeliaceae	Pitcairnia verrucosa	LC		2019	2022	LR GEPC - Especies en Veda - MinAmbiente, Instituto Humboldt, ICN/Universidad Nacional	Publicada (UICN + SIB)
Bromeliaceae	Pitcairnia villetaensis	NT		2019	2022	LR GEPC - Especies en Veda - MinAmbiente, Instituto Humboldt, ICN/Universidad Nacional	Publicada (UICN + SIB)
Bromeliaceae	Pitcairnia woronowii	CR	B2ab(iii)	2019	2022	LR GEPC - Especies en Veda - MinAmbiente, Instituto Humboldt, ICN/Universidad Nacional	Publicada (UICN + SIB)
Bromeliaceae	Puya alpicola	LC		2018	2019	LR GEPC - Especies Alta Montaña - Instituto Humboldt, ICN/Universidad Nacional, CEPF	Publicada (UICN + SIB)
Bromeliaceae	Puya antioquensis	LC		2018	2019	LR GEPC - Especies Alta Montaña - Instituto Humboldt, ICN/Universidad Nacional, CEPF	Publicada (UICN + SIB)
Bromeliaceae	Puya aristeguietae	VU	B1ab(iii)	2019	2019	LR GEPC - Especies Alta Montaña - Instituto Humboldt, ICN/Universidad Nacional, CEPF	Publicada (UICN + SIB)
Bromeliaceae	Puya barkleyana	EN	B1ab(iii)	2018	2019	LR GEPC - Especies Alta Montaña - Instituto Humboldt, ICN/Universidad Nacional, CEPF	Publicada (UICN + SIB)
Bromeliaceae	Puya bicolor	LC		2018	2019	LR GEPC - Especies Alta Montaña - Instituto Humboldt, ICN/Universidad Nacional, CEPF	Publicada (UICN + SIB)
Bromeliaceae	Puya boyacana	CR	B2ab(iii)	2018	2019	LR GEPC - Especies Alta Montaña - Instituto Humboldt, ICN/Universidad Nacional, CEPF	Publicada (UICN + SIB)
Bromeliaceae	Puya brachystachya	LC		2018	2019	LR GEPC - Especies Alta Montaña - Instituto Humboldt, ICN/Universidad Nacional, CEPF	Publicada (UICN + SIB)
Bromeliaceae	Puya clava-herculis	LC		2018	2019	LR GEPC - Especies Alta Montaña - Instituto Humboldt, ICN/Universidad Nacional, CEPF	Publicada (UICN + SIB)
Bromeliaceae	Puya cleefii	CR	B2ab(iii)	2018	2019	LR GEPC - Especies Alta Montaña - Instituto Humboldt, ICN/Universidad Nacional, CEPF	Publicada (UICN + SIB)
